id,name,azimuth,cone_angle,started_at,last_seen_at,is_wildfire,angle_of_view,lat,lon
6182,moret-sur-loing-01,100.0,0.0,2025-05-16T11:35:59.965865,2025-05-16T11:37:00.059030,,54.2,48.37916667,2.820833333
6177,nemours-02,200.0,0.0,2025-05-16T09:04:34.778648,2025-05-16T09:17:46.714458,,54.2,48.2604833333,2.7063833333
6175,nemours-02,200.0,0.0,2025-05-16T08:24:34.365312,2025-05-16T08:25:11.515378,,54.2,48.2604833333,2.7063833333
6173,videlles-02,250.0,0.0,2025-05-16T08:03:56.909887,2025-05-16T08:08:26.745045,,54.2,48.478333333,2.42416667
6171,videlles-01,50.0,0.0,2025-05-16T07:37:14.628133,2025-05-16T07:57:24.565807,,54.2,48.478333333,2.42416667
6168,videlles-02,250.0,0.0,2025-05-16T04:49:04.837631,2025-05-16T05:44:43.944809,,54.2,48.478333333,2.42416667
6167,nemours-01,0.0,0.0,2025-05-16T04:41:47.055069,2025-05-16T04:53:32.329196,,54.2,48.2604833333,2.7063833333
6166,croix-augas-01,150.0,0.0,2025-05-16T04:41:46.139604,2025-05-16T05:03:46.133370,,54.2,48.4267461256,2.7108759097
6297,nemours-01,0.0,0.0,2025-05-17T20:00:44.173251,2025-05-17T20:02:44.408710,,54.2,48.2604833333,2.7063833333
6296,nemours-02,300.0,0.0,2025-05-17T19:47:18.747247,2025-05-17T19:55:24.614946,,54.2,48.2604833333,2.7063833333
6295,nemours-02,250.0,0.0,2025-05-17T19:22:22.814684,2025-05-17T19:26:22.519074,,54.2,48.2604833333,2.7063833333
6294,moret-sur-loing-01,100.0,0.0,2025-05-17T19:01:56.199072,2025-05-17T19:04:56.155810,,54.2,48.37916667,2.820833333
6292,croix-augas-01,50.0,0.0,2025-05-17T18:51:37.915265,2025-05-17T18:53:37.198278,,54.2,48.4267461256,2.7108759097
6289,moret-sur-loing-02,250.0,0.0,2025-05-17T18:23:55.765900,2025-05-17T18:27:54.673690,,54.2,48.37916667,2.820833333
6287,croix-augas-01,50.0,0.0,2025-05-17T18:00:06.286506,2025-05-17T18:03:06.041123,,54.2,48.4267461256,2.7108759097
6286,nemours-02,250.0,0.0,2025-05-17T17:55:48.585769,2025-05-17T18:04:20.363574,,54.2,48.2604833333,2.7063833333
6285,videlles-02,300.0,0.0,2025-05-17T17:51:31.992988,2025-05-17T17:54:27.458664,,54.2,48.478333333,2.42416667
6283,moret-sur-loing-02,300.0,0.0,2025-05-17T15:32:12.878510,2025-05-17T15:33:12.311372,,54.2,48.37916667,2.820833333
6278,moret-sur-loing-01,100.0,0.0,2025-05-17T14:45:13.819079,2025-05-17T14:45:41.867830,,54.2,48.37916667,2.820833333
6275,videlles-01,50.0,0.0,2025-05-17T14:19:51.824091,2025-05-17T14:20:31.699567,,54.2,48.478333333,2.42416667
6273,croix-augas-01,150.0,0.0,2025-05-17T14:04:30.056299,2025-05-17T14:04:59.930361,,54.2,48.4267461256,2.7108759097
6272,moret-sur-loing-02,300.0,0.0,2025-05-17T13:47:25.363444,2025-05-17T13:47:28.266547,,54.2,48.37916667,2.820833333
6271,croix-augas-01,100.0,0.0,2025-05-17T13:23:28.536503,2025-05-17T13:26:28.600966,,54.2,48.4267461256,2.7108759097
6268,croix-augas-01,150.0,0.0,2025-05-17T13:03:58.965418,2025-05-17T13:04:01.847997,,54.2,48.4267461256,2.7108759097
6266,nemours-01,50.0,0.0,2025-05-17T12:42:00.508276,2025-05-17T12:44:39.237504,,54.2,48.2604833333,2.7063833333
6260,nemours-01,50.0,0.0,2025-05-17T10:58:22.579755,2025-05-17T11:06:53.852709,,54.2,48.2604833333,2.7063833333
6259,croix-augas-01,100.0,0.0,2025-05-17T10:48:54.642192,2025-05-17T10:51:24.441806,,54.2,48.4267461256,2.7108759097
6256,croix-augas-01,100.0,0.0,2025-05-17T09:51:52.926630,2025-05-17T10:04:25.294536,,54.2,48.4267461256,2.7108759097
6255,moret-sur-loing-01,100.0,0.0,2025-05-17T09:36:16.916616,2025-05-17T09:54:17.871419,,54.2,48.37916667,2.820833333
6252,croix-augas-01,100.0,0.0,2025-05-17T08:59:51.958071,2025-05-17T09:14:52.245282,,54.2,48.4267461256,2.7108759097
6251,nemours-01,50.0,0.0,2025-05-17T08:45:36.473023,2025-05-17T09:59:13.146344,,54.2,48.2604833333,2.7063833333
6249,croix-augas-01,100.0,0.0,2025-05-17T08:15:51.082264,2025-05-17T08:19:22.772873,,54.2,48.4267461256,2.7108759097
6248,moret-sur-loing-01,100.0,0.0,2025-05-17T08:10:14.696009,2025-05-17T08:15:14.798761,,54.2,48.37916667,2.820833333
6247,nemours-01,150.0,0.0,2025-05-17T07:49:48.212716,2025-05-17T13:58:25.750941,,54.2,48.2604833333,2.7063833333
6244,moret-sur-loing-01,100.0,0.0,2025-05-17T07:34:13.992435,2025-05-17T07:34:44.037683,,54.2,48.37916667,2.820833333
6243,nemours-01,150.0,0.0,2025-05-17T07:03:42.240916,2025-05-17T07:11:06.024213,,54.2,48.2604833333,2.7063833333
6239,croix-augas-02,300.0,0.0,2025-05-17T04:46:45.220434,2025-05-17T05:44:47.110367,,54.2,48.4267461256,2.7108759097
6237,croix-augas-02,300.0,0.0,2025-05-17T04:12:44.549819,2025-05-17T04:16:43.947864,,54.2,48.4267461256,2.7108759097
6235,nemours-01,150.0,0.0,2025-05-17T04:04:32.000322,2025-05-17T06:24:54.981303,,54.2,48.2604833333,2.7063833333
6347,nemours-02,250.0,0.0,2025-05-18T19:21:15.556857,2025-05-18T19:27:28.108608,,54.2,48.2604833333,2.7063833333
6346,moret-sur-loing-02,250.0,0.0,2025-05-18T19:19:41.773491,2025-05-18T19:23:10.938910,,54.2,48.37916667,2.820833333
6345,croix-augas-01,50.0,0.0,2025-05-18T18:45:24.369394,2025-05-18T18:53:23.580024,,54.2,48.4267461256,2.7108759097
6344,nemours-01,100.0,0.0,2025-05-18T18:24:48.716812,2025-05-18T18:26:06.980824,,54.2,48.2604833333,2.7063833333
6342,nemours-02,250.0,0.0,2025-05-18T17:57:51.373712,2025-05-18T18:15:19.543474,,54.2,48.2604833333,2.7063833333
6341,nemours-01,150.0,0.0,2025-05-18T17:48:29.241821,2025-05-18T17:51:46.723899,,54.2,48.2604833333,2.7063833333
6340,nemours-01,0.0,0.0,2025-05-18T17:47:57.757663,2025-05-18T17:57:16.104944,,54.2,48.2604833333,2.7063833333
6337,croix-augas-01,150.0,0.0,2025-05-18T17:39:52.162014,2025-05-18T17:42:52.024908,,54.2,48.4267461256,2.7108759097
6335,videlles-02,250.0,0.0,2025-05-18T15:57:10.767782,2025-05-18T15:58:51.271067,,54.2,48.478333333,2.42416667
6334,nemours-01,150.0,0.0,2025-05-18T15:31:39.077942,2025-05-18T15:32:22.857058,,54.2,48.2604833333,2.7063833333
6333,moret-sur-loing-02,250.0,0.0,2025-05-18T15:18:35.515367,2025-05-18T15:21:34.985822,,54.2,48.37916667,2.820833333
